"name","franchID","W","L","park","attendance","yearID","games","win.perc","Capacity","Attend.G","Att.perc"
"Minnesota Twins","MIN",96,66,"Hubert H Humphrey Metrodome",2285018,2006,162,0.593,56144,28210,0.502
"New York Yankees","NYY",97,65,"Yankee Stadium",4248067,2006,162,0.599,56937,52445,0.921
"New York Mets","NYM",97,65,"Shea Stadium",3379535,2006,162,0.599,57333,41723,0.728
"Oakland Athletics","OAK",93,69,"Oakland Coliseum",1976625,2006,162,0.574,35067,24403,0.696
"Philadelphia Phillies","PHI",85,77,"Citizens Bank Park",2701815,2006,162,0.525,43826,33356,0.761
"Pittsburgh Pirates","PIT",67,95,"PNC Park",1861549,2006,162,0.414,38496,22982,0.597
"San Diego Padres","SDP",88,74,"Petco Park",2659757,2006,162,0.543,41164,32837,0.798
"Seattle Mariners","SEA",78,84,"Safeco Field",2481165,2006,162,0.481,47116,30632,0.65
"San Francisco Giants","SFG",76,85,"AT&T Park",3130313,2006,161,0.472,41915,38886,0.928
"St. Louis Cardinals","STL",83,78,"Busch Stadium III",3407104,2006,161,0.516,46200,42324,0.916
"Tampa Bay Devil Rays","TBR",61,101,"Tropicana Field",1368950,2006,162,0.377,31042,16901,0.544
"Texas Rangers","TEX",80,82,"Rangers Ballpark in Arlington",2388757,2006,162,0.494,48911,29491,0.603
"Toronto Blue Jays","TOR",87,75,"Skydome",2302212,2006,162,0.537,50516,28422,0.563
"Washington Nationals","WSN",71,91,"R.F.K. Stadium",2153056,2006,162,0.438,46382,26581,0.573
"Arizona Diamondbacks","ARI",90,72,"Chase Field",2325249,2007,162,0.556,48519,28707,0.592
"Atlanta Braves","ATL",84,78,"Turner Field",2745207,2007,162,0.519,50096,33891,0.677
"Baltimore Orioles","BAL",69,93,"Oriole Park at Camden Yards",2164822,2007,162,0.426,45971,26726,0.581
"Boston Red Sox","BOS",96,66,"Fenway Park",2970755,2007,162,0.593,37673,36676,0.974
"Chicago White Sox","CHW",72,90,"U.S. Cellular Field",2684395,2007,162,0.444,40615,33141,0.816
"Chicago Cubs","CHC",85,77,"Wrigley Field",3252462,2007,162,0.525,40929,40154,0.981
"Cincinnati Reds","CIN",72,90,"Great American Ball Park",2058593,2007,162,0.444,42271,25415,0.601
"Cleveland Indians","CLE",96,66,"Progressive Field",2275912,2007,162,0.593,37630,28098,0.747
"Colorado Rockies","COL",90,73,"Coors Field",2376250,2007,163,0.552,50398,29156,0.579
"Detroit Tigers","DET",88,74,"Comerica Park",3047133,2007,162,0.543,41574,37619,0.905
"Florida Marlins","MIA",71,91,"Pro Player Stadium",1370511,2007,162,0.438,47972,16920,0.353
"Houston Astros","HOU",73,89,"Minute Maid Park",3020405,2007,162,0.451,41574,37289,0.897
"Kansas City Royals","KCR",69,93,"Kauffman Stadium",1616867,2007,162,0.426,38177,19961,0.523
"Los Angeles Angels of Anaheim","LAA",94,68,"Angel Stadium",3365632,2007,162,0.58,45493,41551,0.913
"Los Angeles Dodgers","LAD",82,80,"Dodger Stadium",3857036,2007,162,0.506,56000,47618,0.85
"Milwaukee Brewers","MIL",83,79,"Miller Park",2869144,2007,162,0.512,41900,35422,0.845
"Minnesota Twins","MIN",79,83,"Hubert H Humphrey Metrodome",2296383,2007,162,0.488,56144,28350,0.505
"New York Yankees","NYY",94,68,"Yankee Stadium",4271083,2007,162,0.58,56937,52729,0.926
"New York Mets","NYM",88,74,"Shea Stadium",3853955,2007,162,0.543,57333,47580,0.83
"Oakland Athletics","OAK",76,86,"Oakland Coliseum",1921844,2007,162,0.469,35067,23726,0.677
"Philadelphia Phillies","PHI",89,73,"Citizens Bank Park",3108325,2007,162,0.549,43826,38374,0.876
"Pittsburgh Pirates","PIT",68,94,"PNC Park",1749142,2007,162,0.42,38496,21594,0.561
"San Diego Padres","SDP",89,74,"Petco Park",2790074,2007,163,0.546,41164,34234,0.832
"Seattle Mariners","SEA",88,74,"Safeco Field",2672223,2007,162,0.543,47116,32990,0.7
"San Francisco Giants","SFG",71,91,"AT&T Park",3223215,2007,162,0.438,41915,39793,0.949
"St. Louis Cardinals","STL",78,84,"Busch Stadium III",3552180,2007,162,0.481,46200,43854,0.949
"Tampa Bay Devil Rays","TBR",66,96,"Tropicana Field",1387603,2007,162,0.407,31042,17131,0.552
"Texas Rangers","TEX",75,87,"Rangers Ballpark in Arlington",2353862,2007,162,0.463,48911,29060,0.594
"Toronto Blue Jays","TOR",83,79,"Skydome",2360644,2007,162,0.512,50516,29144,0.577
"Washington Nationals","WSN",73,89,"R.F.K. Stadium",1943812,2007,162,0.451,46382,23998,0.517
"Arizona Diamondbacks","ARI",82,80,"Chase Field",2509924,2008,162,0.506,48519,30987,0.639
"Atlanta Braves","ATL",72,90,"Turner Field",2532834,2008,162,0.444,50096,31270,0.624
"Baltimore Orioles","BAL",68,93,"Oriole Park at Camden Yards",1950075,2008,161,0.422,45971,24225,0.527
"Boston Red Sox","BOS",95,67,"Fenway Park",3048250,2008,162,0.586,37673,37633,0.999
"Chicago White Sox","CHW",89,74,"U.S. Cellular Field",2500648,2008,163,0.546,40615,30683,0.755
"Chicago Cubs","CHC",97,64,"Wrigley Field",3300200,2008,161,0.602,40929,40996,1.002
